,Dominant Attribute,Base Strength,Strength Growth,Base Agility,Agility Growth,Base Intelligence,Intelligence Growth,A,STR,STR+,STR30,AGI,AGI+,AGI30,INT,INT+,INT30,T,T+,T30,MS,AR,DMG(MIN),DMG(MAX),RG,AS,BAT,ATKPT,ATKBS,VS-D,VS-N,TR,COL,HP/S,L,Description,Release,Status,Release,Version
Abaddon,Strength,22,2.6,23,1.5,18,2.0,,22,2.6,97.4,23,1.5,66.5,18,2.0,76.0,63,6.1,239.9,325,2.83,50,60,150,120,1.7,0.56,0.41,1800,800,0.6,24,3.2,2,"Unlike the other scions of his house, Abaddon drank deeper than any from the prophetic vapors that flowed from the Font of Avernus. Now a being of unnatural powers, Abaddon releases deathly Mist Coils to damage adversaries and heal allies. The black mist swirls around his compatriots, forming an Aphotic Shield that absorbs attacks before bursting in a wide radius. But the Font's greatest gift is revealed only in the desperation of battle. Bestowed with Borrowed Time, Abaddon charges the enemy ranks, riding down foes with his cursed blade, his health returning with each welcoming blow. For all that was meant to kill did nothing but make the Lord of Avernus even more formidable.",2013-07-12,Gold,2005-11-04,6.20
Alchemist,Strength,25,2.9,22,1.5,25,1.8,,25,2.9,109.1,22,1.5,65.5,25,1.8,77.2,72,6.2,251.8,305,2.67,52,58,150,100,1.7,0.35,0.65,1800,800,0.6,24,2.75,2,"Having broken out of prison with his ogre accomplice, Razzil Darkbrew embarks on the search for new materials to use in his transmutations. Learned in alchemy, Razzil is able to extract extra gold from creeps, and create fields of toxic sludge with Acid Spray. The Alchemist brews, atop the shoulders of his companion, an increasingly Unstable Concoction that is ideally thrown before it explodes. In a pinch, Razzil slips his partner an unknown potion, inducing a Chemical Rage in the ogre's body. Symptoms include unnatural attack speed, rapid health regeneration, and a pleasant purple hue.",2011-11-18,Beta,2006-08-25,6.36
Axe,Strength,25,3.4,20,2.2,18,1.6,,25,3.4,123.6,20,2.2,83.8,18,1.6,64.4,63,7.2,271.8,310,2.33,52,56,150,100,1.7,0.4,0.5,1800,800,0.6,24,5.25,2,"One by one the soldiers of the Red Mist fell, some in battle, others to Moghul Khan's ambitions, until the self-declared general found himself a commander without troops. No matter, Axe thought. For a one-man army is the best army of all. Leaping into battle, Moghul Khan compels nearby foes to attack him with a taunting Berserker's Call. Absorbing blows from every direction, Axe reacts by swinging his axe full circle in a Counter Helix, easily dispatching the swarm he had gathered. But alas, not all stay long enough to meet their end. The few limping away from Moghul Khan feel an inexplicable Battle Hunger, a hunger that is never sated before Axe sends them to an early grave with Culling Blade.",2010-11-01,Alpha,2005-03-01,6.00
Beastmaster,Strength,23,2.9,18,1.6,16,1.9,,23,2.9,107.1,18,1.6,64.4,16,1.9,71.1,57,6.4,242.6,305,3.0,54,58,150,100,1.7,0.3,0.7,1800,800,0.6,24,2.55,2,"Raised in the royal menagerie of Slom, Karroch learned to converse with beasts from a young age. With this unique talent, the Beastmaster is able to summon to his side a trusty Boar and a scouting Hawk. In addition to his companions, Karroch has mastered the art of throwing Wild Axes, cutting down trees and foes before returning to his hands. The Beastmaster awakens the Inner Beast of nearby allies, increasing their attack speed. Should an enemy attempt to flee, Karroch lets loose a Primal Roar, incapacitating the target and clearing the path to its demise.",2011-05-20,Beta,2006-04-11,6.30
Brewmaster,Strength,23,3.7,19,2.0,15,1.6,,23,3.7,130.3,19,2.0,77.0,15,1.6,61.4,57,7.3,268.7,310,2.17,52,59,150,100,1.7,0.35,0.65,1800,800,0.6,24,2.8,2,"For nine days Mangix fought the master of his order, both warriors swilling and striking in equal measure, until at last the elder collapsed into a drunken stupor. Having claimed the title of Brewmaster, Mangix now wanders the land as a Drunken Brawler, swinging and evading with unpredictable finesse. Under one arm he holds a great keg, and not merely for storing his Cinder Brew. Mangix drenches enemies in alcohol, disorienting them before slamming the barrel down with a Thunder Clap. Rumor around taverns is that the Brewmaster is actually composed of three elementals, and should one catch him sufficiently intoxicated, one may just witness this Primal Split in action.",2012-04-19,Beta,2004-04-30,5.10
Bristleback,Strength,22,2.5,17,1.8,14,2.8,,22,2.5,94.5,17,1.8,69.2,14,2.8,95.2,53,7.1,258.9,295,3.83,52,58,150,100,1.8,0.3,0.3,1800,800,0.9,24,2.45,2,"The enforcer at a local pub, Rigwarl's never failed to collect a tab. That is, until he met one tough customer from the north. For the first time in his life, Rigwarl felt the need to train. His thorny back deters attack while peppering foes with constant Quill Sprays. From his nose he blows thick gobs of snot, slowing and covering opponents in Viscous Nasal Goo. With every volley and every sneeze, Rigwarl works himself into a fury, adding rage to each blow as he goes on the Warpath in search of a rematch.",2013-03-28,Beta,2005-05-04,6.07
Centaur Warrunner,Strength,27,4.0,15,1.0,15,1.6,,27,4.0,143.0,15,1.0,44.0,15,1.6,61.4,57,6.6,248.4,300,2.5,63,65,150,90,1.7,0.3,0.3,1800,800,0.6,24,2.95,4,"Some write to express their being, others paint or sing. But for the centaurs of Druud, there is no higher art than the art of killing. And in that, none was more accomplished than Bradwarden. With skills acquired in the arena, the Warrunner punishes his opponents for every attack, disregarding harm to himself as he metes out a fearsome Double Edge. Ever in search of a worthy opponent, Bradwarden rouses his allies to charge down enemies in a wild Stampede. Once battle is joined, the Centaur Warrunner tramples surrounding foes with a Hoof Stomp, stunning them just long enough for his battleaxe to sink in.",2012-10-25,Beta,2004-06-06,5.53
Chaos Knight,Strength,22,3.2,18,1.4,18,1.2,,22,3.2,114.8,18,1.4,58.6,18,1.2,52.8,58,5.8,226.2,325,5.0,51,81,150,100,1.7,0.5,0.5,1800,800,0.6,24,2.45,2,"Upon the black steed Armageddon, the Chaos Knight rode into countless battles with a single purpose in mind: To extinguish that which he knows as ""The Light"". Like a roll of unseen dice, the oldest Fundamental stuns his targets with a Chaos Bolt, then deals unpredictable damage in the form of Chaos Strikes. Those who escape the initial onslaught find themselves in a Reality Rift, reappearing inexplicably at Armageddon's side, exposed for its rider's wrath. Flanked by several images of himself, the Chaos Knight and his Phantasms hack their opponents apart with the strength of multiple heroes.",2012-06-11,Beta,2004-03-01,2.60
Clockwerk,Strength,26,3.5,13,2.3,18,1.5,,26,3.5,127.5,13,2.3,79.7,18,1.5,61.5,57,7.3,268.7,310,3.17,50,52,150,100,1.7,0.33,0.64,1800,800,0.6,24,2.85,2,"Powered by revenge and ingenuity, Rattletrap armored himself into an instrument of war. Rocket Flares flew from his shoulder-mounted launcher, striking and revealing distant territories. A sudden Hookshot flies, latching and pulling the mechanized Keen to his unsuspecting foe. Before the stunned target could react, Rattletrap erects a grid of Power Cogs, trapping his foe within while repelling help from without. He triggers the suit's Battery Assault, and watches the target panic as short bursts of shrapnel whittle down its remaining health...",2011-04-20,Beta,2008-07-10,6.53
Dawnbreaker,Strength,26,3.6,14,1.7,20,2.2,,26,3.6,130.4,14,1.7,63.3,20,2.2,83.8,60,7.5,277.5,310,4.33,57,61,150,100,1.7,0.46,,1800,800,0.6,24,2.85,2,"Dawnbreaker shines in the heart of battle, happily crushing her enemies like a Starbreaker, she revels in hurling her Celestial Hammer through foes and then Converging with it in a blazing wake. At the same time, capable of healing nearby allies by attacking with great Luminosity, and even acting as a Solar Guardian to allies anywhere on the field, flying towards them for aid from anywhere with an epic entrance.",2021-04-09,Reborn,-,7.29
