Appl,Browser,CLDR Short Name,Code,DCM,FB,GMail,Goog,Joy,KDDI,SB,Sams,Twtr,Wind,№
1,U+1F600,😀,,,,,,,,,—,—,—,grinning face
2,U+1F603,😃,,,,,,,,,,,,grinning face with big eyes
3,U+1F604,😄,,,,,,,,,,—,—,grinning face with smiling eyes
4,U+1F601,😁,,,,,,,,,,,,beaming face with smiling eyes
5,U+1F606,😆,,,,,,,,,—,,—,grinning squinting face
6,U+1F605,😅,,,,,,,,,—,,—,grinning face with sweat
7,U+1F923,🤣,,,,,,,,—,—,—,—,rolling on the floor laughing
8,U+1F602,😂,,,,,,,,,,—,,face with tears of joy
9,U+1F642,🙂,,,,,,,,,—,—,—,slightly smiling face
10,U+1F643,🙃,,,,,,,,—,—,—,—,upside-down face
11,U+1FAE0,🫠,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ melting face
12,U+1F609,😉,,,,,,,,,,,,winking face
13,U+1F60A,😊,,,,,,,,,,—,,smiling face with smiling eyes
14,U+1F607,😇,,,,,,,,—,—,—,—,smiling face with halo
face-affection,face-affection,face-affection,face-affection,face-affection,face-affection,face-affection,face-affection,face-affection,face-affection,face-affection,face-affection,face-affection,face-affection,face-affection
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
15,U+1F970,🥰,,,,,,,,—,—,—,—,smiling face with hearts
16,U+1F60D,😍,,,,,,,,,,,,smiling face with heart-eyes
17,U+1F929,🤩,,,,,,,,—,—,—,—,star-struck
18,U+1F618,😘,,,,,,,,,,—,,face blowing a kiss
19,U+1F617,😗,,,,,,,,—,—,—,—,kissing face
20,U+263A,☺,,,,,,,,,,—,,smiling face
21,U+1F61A,😚,,,,,,,,,,—,,kissing face with closed eyes
22,U+1F619,😙,,,,,,,,—,—,—,—,kissing face with smiling eyes
23,U+1F972,🥲,,,—,—,,,—,—,—,—,—,smiling face with tear
face-tongue,face-tongue,face-tongue,face-tongue,face-tongue,face-tongue,face-tongue,face-tongue,face-tongue,face-tongue,face-tongue,face-tongue,face-tongue,face-tongue,face-tongue
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
24,U+1F60B,😋,,,,,,,,,—,,—,face savoring food
25,U+1F61B,😛,,,,,,,,—,—,—,—,face with tongue
26,U+1F61C,😜,,,,,,,,,,,,winking face with tongue
27,U+1F92A,🤪,,,,,,,,—,—,—,—,zany face
28,U+1F61D,😝,,,,,,,,,,—,—,squinting face with tongue
29,U+1F911,🤑,,,,,,,,—,—,—,—,money-mouth face
face-hand,face-hand,face-hand,face-hand,face-hand,face-hand,face-hand,face-hand,face-hand,face-hand,face-hand,face-hand,face-hand,face-hand,face-hand
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
30,U+1F917,🤗,,,,,,,,—,—,—,—,smiling face with open hands
31,U+1F92D,🤭,,,,,,,,—,—,—,—,face with hand over mouth
32,U+1FAE2,🫢,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ face with open eyes and hand over mouth
33,U+1FAE3,🫣,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ face with peeking eye
34,U+1F92B,🤫,,,,,,,,—,—,—,—,shushing face
35,U+1F914,🤔,,,,,,,,—,—,—,—,thinking face
36,U+1FAE1,🫡,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ saluting face
face-neutral-skeptical,face-neutral-skeptical,face-neutral-skeptical,face-neutral-skeptical,face-neutral-skeptical,face-neutral-skeptical,face-neutral-skeptical,face-neutral-skeptical,face-neutral-skeptical,face-neutral-skeptical,face-neutral-skeptical,face-neutral-skeptical,face-neutral-skeptical,face-neutral-skeptical,face-neutral-skeptical
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
37,U+1F910,🤐,,,,,,,,—,—,—,—,zipper-mouth face
38,U+1F928,🤨,,,,,,,,—,—,—,—,face with raised eyebrow
39,U+1F610,😐,,,,,,,,—,—,—,—,neutral face
40,U+1F611,😑,,,,,,,,—,—,—,—,expressionless face
41,U+1F636,😶,,,,,,,,—,—,—,—,face without mouth
42,U+1FAE5,🫥,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ dotted line face
43,U+1F636 U+200D U+1F32B U+FE0F,😶‍🌫️,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,face in clouds
44,U+1F60F,😏,,,,,,,,,,,,smirking face
45,U+1F612,😒,,,,,,,,,,,,unamused face
46,U+1F644,🙄,,,,,,,,—,—,—,—,face with rolling eyes
47,U+1F62C,😬,,,,,,,,—,—,—,—,grimacing face
48,U+1F62E U+200D U+1F4A8,😮‍💨,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,face exhaling
49,U+1F925,🤥,,,,,,,,—,—,—,—,lying face
face-sleepy,face-sleepy,face-sleepy,face-sleepy,face-sleepy,face-sleepy,face-sleepy,face-sleepy,face-sleepy,face-sleepy,face-sleepy,face-sleepy,face-sleepy,face-sleepy,face-sleepy
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
50,U+1F60C,😌,,,,,,,,,,,,relieved face
51,U+1F614,😔,,,,,,,,,,,,pensive face
52,U+1F62A,😪,,,,,,,,,,—,,sleepy face
53,U+1F924,🤤,,,,,,,,—,—,—,—,drooling face
