Icon,Icon.1,Icon.2,Icon.3,Icon.4,Icon.5,Icon.6,Icon.7,Icon.8,Icon.9,Icon.10,Emoji,Meaning
:‑):),:-]:],:-3:3,:->:>,8-)8),:-}:},:o),:c),:^),=],=),☺️🙂😊😀😁,Smiley or happy face.[4][5][6]
:‑D:D,8‑D8D,x‑DxD,X‑DXD,=D,=3,B^D,c:,C:,,,😃😄😆😍,"Laughing,[4] big grin,[5][6] laugh with glasses,[7] or wide-eyed surprise[8]"
:-)),:-)),:-)),:-)),:-)),:-)),:-)),:-)),:-)),:-)),:-)),,Very happy or double chin[7]
:‑(:(,:‑c:c,:‑< :<,:‑[:[,:-||,>:[,:{,:@,:(,;(,;(,☹️🙁😠😡😞😟😣😖,"Frown,[4][5][6] sad,[9] angry,[7] pouting"
:'‑(:'(,:'‑(:'(,:'‑(:'(,:'‑(:'(,:'‑(:'(,:'‑(:'(,:'‑(:'(,:'‑(:'(,:'‑(:'(,:'‑(:'(,:'‑(:'(,😢😭,Crying[9]
:'‑):'),:'‑):'),:'‑):'),:'‑):'),:'‑):'),:'‑):'),:'‑):'),:'‑):'),:'‑):'),:'‑):'),:'‑):'),🥲 😂,Tears of happiness[9]
D‑':,D:<,D:,D8,D;,D=,DX,,,,,😨😧😦😱😫😩,"Horror, disgust, sadness, great dismay[5][6] (right to left)"
:‑O:O,:‑o:o,:-0,8‑0,>:O,,,,,,,😮😯😲,"Surprise,[3] shock,[4][10] yawn[11]"
:-*:*,:×,,,,,,,,,,😗😙😚😘😍,Kiss[4]
;‑);),*-)*),;‑];],;^) ;>,":‑,",;D,,,,,,😉😜😘,"Wink,[4][5][6] smirk[10][11]"
:‑P:P,X‑PXP,x‑pxp,:‑p:p,:‑Þ:Þ,:‑þ:þ,:‑b:b,d:,=p,>:P,,😛😝😜🤑,"Tongue sticking out, cheeky/playful,[4] blowing a raspberry"
:-/:/,:‑.,>:\,>:/,:\,=/,=\,:L,=L,:S,,🤔😕😟,"Skeptical, annoyed, undecided, uneasy, hesitant[4]"
:‑|:|,,,,,,,,,,,😐😑,"Straight face[5] no expression, indecision[9]"
:$,://)://3,,,,,,,,,,😳😞😖,"Embarrassed,[6] blushing[7]"
:‑X:X,:‑#:#,:‑&:&,,,,,,,,,🤐😶,"Sealed lips or wearing braces,[4] tongue-tied[9]"
O:‑)O:),0:‑30:3,0:‑)0:),0;^),,,,,,,,😇👼,"Angel,[4][5][10] saint,[9] innocent"
>:‑):),}:‑)}:),3:‑)3:),>;),>:3;3,,,,,,,😈,"Evil,[5] devilish[9]"
|;‑),|‑O,B-),B-),B-),B-),B-),B-),B-),B-),B-),😎😪,"Cool,[9] bored/yawning[10]"
:‑J,:‑J,:‑J,:‑J,:‑J,:‑J,:‑J,:‑J,:‑J,:‑J,:‑J,😏😒,Tongue-in-cheek[12]
#‑),#‑),#‑),#‑),#‑),#‑),#‑),#‑),#‑),#‑),#‑),—,Partied all night[9]
%‑)%),%‑)%),%‑)%),%‑)%),%‑)%),%‑)%),%‑)%),%‑)%),%‑)%),%‑)%),%‑)%),😵😵‍💫😕🤕,"Drunk,[9] confused"
:‑###..:###..,:‑###..:###..,:‑###..:###..,:‑###..:###..,:‑###..:###..,:‑###..:###..,:‑###..:###..,:‑###..:###..,:‑###..:###..,:‑###..:###..,:‑###..:###..,🤒😷🤢,Being sick[9]
<:‑|,<:‑|,<:‑|,<:‑|,<:‑|,<:‑|,<:‑|,<:‑|,<:‑|,<:‑|,<:‑|,—,"Dumb, dunce-like[10]"
"',:-|","',:-l",,,,,,,,,,🤨,"Scepticism, disbelief, or disapproval[13][14]"
:E,:E,:E,:E,:E,:E,:E,:E,:E,:E,:E,😬,"Grimacing, nervous, awkward[15]"
<_<,>_>,<.<,>.>,,,,,,,,—,Sideways look. Devious or guilty.[16]
8-X,8=X,x-3,x=3,,,,,,,,☠️💀🏴‍☠️,Skull and crossbones[17]
